No. Baris,Atribut Kunci (ID),X1: TPS,X2: Armada PickUp,X3: Izin LH,X4: Pengaduan,X5: Bank Sampah,X6: Truk Besar,X7: IKA Kota,X8: IKU Kota,Target Y: Adiwiyata / Label SVC
1,Mantikulore - 2019,0,0,16,0,0,0,0,0,0 (RENDAH)
2,Mantikulore - 2020,54,0,17,1,2,0,0,0,1 (SEDANG)
3,Mantikulore - 2021,84,10,3,0,2,0,56.5,80.37,0 (RENDAH)
4,Mantikulore - 2022,84,10,2,0,2,0,52,90.67,1 (SEDANG)
5,Mantikulore - 2023,25,13,0,0,0,10,70,87.25,10 (TINGGI)
6,Mantikulore - 2024,25,13,0,3,0,10,59.66,91.85,2 (SEDANG)
7,Palu Barat - 2019,0,0,2,0,0,0,0,0,0 (RENDAH)
8,Palu Barat - 2020,7,0,5,2,0,0,0,0,1 (SEDANG)
9,Palu Barat - 2021,12,12,2,0,0,0,56.5,80.37,0 (RENDAH)
10,Palu Barat - 2022,12,12,1,0,0,0,52,90.67,0 (RENDAH)
11,Palu Barat - 2023,9,12,1,0,0,3,70,87.25,0 (RENDAH)
12,Palu Barat - 2024,9,12,1,3,0,3,59.66,91.85,2 (SEDANG)
13,Palu Selatan - 2019,0,0,10,0,0,0,0,0,0 (RENDAH)
14,Palu Selatan - 2020,29,0,13,1,4,0,0,0,1 (SEDANG)
15,Palu Selatan - 2021,44,8,5,0,1,0,56.5,80.37,0 (RENDAH)
16,Palu Selatan - 2022,44,8,2,1,1,0,52,90.67,3 (SEDANG)
17,Palu Selatan - 2023,12,9,1,1,1,7,70,87.25,5 (SEDANG)
18,Palu Selatan - 2024,12,9,1,3,1,7,59.66,91.85,2 (SEDANG)
19,Palu Timur - 2019,0,0,10,1,0,0,0,0,0 (RENDAH)
20,Palu Timur - 2020,16,0,13,0,1,0,0,0,1 (SEDANG)
21,Palu Timur - 2021,32,10,4,1,2,0,56.5,80.37,0 (RENDAH)
22,Palu Timur - 2022,32,10,4,1,4,0,52,90.67,5 (SEDANG)
23,Palu Timur - 2023,19,10,0,3,4,8,70,87.25,7 (TINGGI)
24,Palu Timur - 2024,19,10,0,3,4,8,59.66,91.85,2 (SEDANG)
25,Palu Utara - 2019,0,0,3,2,0,0,0,0,0 (RENDAH)
26,Palu Utara - 2020,5,0,6,1,1,0,0,0,0 (RENDAH)
27,Palu Utara - 2021,7,5,1,2,1,0,56.5,80.37,0 (RENDAH)
28,Palu Utara - 2022,7,5,0,0,2,0,52,90.67,2 (SEDANG)
29,Palu Utara - 2023,5,5,0,0,2,4,70,87.25,0 (RENDAH)
30,Palu Utara - 2024,5,5,0,3,2,4,59.66,91.85,2 (SEDANG)
31,Tatanga - 2019,0,0,3,1,0,0,0,0,0 (RENDAH)
32,Tatanga - 2020,18,0,2,1,0,0,0,0,1 (SEDANG)
33,Tatanga - 2021,20,8,1,0,0,0,56.5,80.37,0 (RENDAH)
34,Tatanga - 2022,20,8,3,1,1,0,52,90.67,0 (RENDAH)
35,Tatanga - 2023,2,10,0,0,1,4,70,87.25,2 (SEDANG)
36,Tatanga - 2024,2,10,0,3,1,4,59.66,91.85,2 (SEDANG)
37,Tawaeli - 2019,0,0,2,0,0,0,0,0,0 (RENDAH)
38,Tawaeli - 2020,12,0,1,1,0,0,0,0,1 (SEDANG)
39,Tawaeli - 2021,14,5,1,0,0,0,56.5,80.37,0 (RENDAH)
40,Tawaeli - 2022,14,5,0,0,0,0,52,90.67,1 (SEDANG)
41,Tawaeli - 2023,9,5,0,1,0,2,70,87.25,2 (SEDANG)
42,Tawaeli - 2024,9,5,0,3,0,2,59.66,91.85,2 (SEDANG)
43,Ulujadi - 2019,0,0,2,0,0,0,0,0,0 (RENDAH)
44,Ulujadi - 2020,19,0,8,0,0,0,0,0,0 (RENDAH)
45,Ulujadi - 2021,19,0,1,0,0,0,56.5,80.37,0 (RENDAH)
46,Ulujadi - 2022,19,0,1,0,0,0,52,90.67,0 (RENDAH)
47,Ulujadi - 2023,8,6,0,6,0,4,70,87.25,0 (RENDAH)
48,Ulujadi - 2024,8,6,0,3,0,4,59.66,91.85,2 (SEDANG)
